"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"TRETSPEF","Treatment Specialty","String(3)","The specialty in which the consultant was working during the period of care. It can be compared with MAINSPEF, the specialty under which the consultant is contracted. Prior to 1 April 1996, this data item contained the code for the sub-specialty. From April 2004 a new list of treatment specialities was introduced, which describes the specialised service within which the patient was treated.","100 =  General Surgery Service
101 =  Urology Service
102 =  Transplant Surgery Service (From 1 April 2004)
103 =  Breast Surgery Service (From 1 April 2004)
104 =  Colorectal Surgery Service (From 1 April 2004)
105 =  Hepatobiliary and Pancreatic Surgery Service (From 1 April 2004)
106 =  Upper Gastrointestinal Surgery Service (From 1 April 2004)
107 =  Vascular Surgery Service (From 1 April 2004)
108 =  Spinal Surgery Service (From April 2013)
109 =  Bariatric Surgery Service (From 1 April 2021)
110 =  Trauma and Orthopaedic Service
111 =  Orthopaedic Service (From 1 April 2021)
113 =  Endocrine Surgery Service (From 1 April 2021)
115 =  Trauma Surgery Service (From 1 April 2021)
120 =  Ear Nose and Throat Service
130 =  Ophthalmology Service
140 =  Oral Surgery Service
141 =  Restorative Dentistry Service
142 =  Paediatric Dentistry Service (From 1999-2000)
143 =  Orthodontic Service
144 =  Maxillofacial Surgery Service (From 1 April 2004)
145 =  Oral and Maxillofacial Surgery Service (From 1 April 2021)
150 =  Neurosurgical Service
160 =  Plastic Surgery Service
161 =  Burns Care Service (From 1 April 2004)
170 =  Cardiothoracic Surgery Service
171 =  Paediatric Surgery Service
172 =  Cardiac Surgery Service (From 1 April 2004)
173 =  Thoracic Surgery Service (From 1 April 2004)
174 =  Cardiothoracic Transplantation Service (From 1 April 2004)
180 =  Emergency Medicine Service
190 =  Anaesthetic Service
191 =  Pain Management Service (From 1998-99)
192 =  Intensive Care Medicine Service (From 1 April 2004)
200 =  Aviation and Space Medicine Service (From 1 April 2021)
211 =  Paediatric Urology Service (From 2006-07)
212 =  Paediatric Transplantation Surgery Service (From 2006-07)
213 =  Paediatric Gastrointestinal Surgery Service (From 2006-07)
214 =  Paediatric Trauma and Orthopaedic Service (From 2006-07)
215 =  Paediatric Ear Nose and Throat Service (From 2006-07)
216 =  Paediatric Ophthalmology Service (From 2006-07)
217 =  Paediatric Oral and Maxillofacial Surgery Service (From 2006-07)
218 =  Paediatric Neurosurgery Service (From 2006-07)
219 =  Paediatric Plastic Surgery Service (From 2006-07)
220 =  Paediatric Burns Care Service (From 2006-07)
221 =  Paediatric Cardiac Surgery Service (From 2006-07)
222 =  Paediatric Thoracic Surgery Service (From 2006-07)
223 =  Paediatric Epilepsy Service (From April 2013)
230 =  Paediatric Clinical Pharmacology Service (From 1 April 2021)
240 =  Paediatric Palliative Medicine Service (From 1 April 2021)
241 =  Paediatric Pain Management Service (From 2006-07)
242 =  Paediatric Intensive Care Service (From 2006-07)
250 =  Paediatric Hepatology Service (From 1 April 2021)
251 =  Paediatric Gastroenterology Service (From 2006-07)
252 =  Paediatric Endocrinology Service (From 2006-07)
253 =  Paediatric Clinical Haematology Service (From 2006-07)
254 =  Paediatric Audio Vestibular Medicine Service (From 2006-07)
255 =  Paediatric Clinical Immunology and Allergy Service (From 2006-07)
256 =  Paediatric Infectious Diseases Service (From 2006-07)
257 =  Paediatric Dermatology Service (From 2006-07)
258 =  Paediatric Respiratory Medicine Service (From 2006-07)
259 =  Paediatric Nephrology Service (From 2006-07)
260 =  Paediatric Medical Oncology Service (From 2006-07)
261 =  Paediatric Inherited Metabolic Medicine Service (From 2006-07)
262 =  Paediatric Rheumatology Service (From 2006-07)
263 =  Paediatric Diabetes Service (From 1 April 2004)
264 =  Paediatric Cystic Fibrosis Service (From 1 April 2004)
270 =  Paediatric Emergency Medicine Service (From 1 April 2021)
280 =  Paediatric Interventional Radiology Service (From 2006-07)
290 =  Community Paediatric Service (From 2006-07)
291 =  Paediatric Neurodisability Service (From 2006-07)
300 =  General Internal Medicine Service
301 =  Gastroenterology Service
302 =  Endocrinology Service
303 =  Clinical Haematology Service
304 =  Clinical Physiology Service (From 2008-09)
305 =  Clinical Pharmacology Service
306 =  Hepatology Service (From 1 April 2004)
307 =  Diabetes Service (From 1 April 2004)
308 =  Blood and Marrow Transplantation Service (From 1 April 2004)
309 =  Haemophilia Service (From 1 April 2004)
310 =  Audio Vestibular Medicine Service
311 =  Clinical Genetics Service
313 =  Clinical Immunology and Allergy Service (From 1991-92)
314 =  Rehabilitation Medicine Service (From 1991-92)
315 =  Palliative Medicine Service
316 =  Clinical Immunology Service (From 1 April 2004)
317 =  Allergy Service (From 1 April 2004)
318 =  Intermediate Care Service (From 1 April 2004)
319 =  Respite Care Service (From 1 April 2004)
320 =  Cardiology Service
321 =  Paediatric Cardiology Service (From 1 April 2004)
322 =  Clinical Microbiology Service (From 1 April 2004)
323 =  Spinal Injuries Service (From 2006-07)
324 =  Anticoagulant Service (From 1 April 2004)
325 =  Sport and Exercise Medicine Service (From 1 April 2004)
326 =  Acute Internal Medicine Service (From 1 April 2021)
327 =  Cardiac Rehabilitation Service (From 1 April 2004)
328 =  Stroke Medicine Service (From 1 April 2004)
329 =  Transient Ischaemic Attack Service (From 1 April 2004)
330 =  Dermatology Service
331 =  Congenital Heart Disease Service (From April 2013)
333 =  Rare Disease Service (From 1 April 2021)
335 =  Inherited Metabolic Medicine Service (From 1 April 2021)
340 =  Respiratory Medicine Service
341 =  Respiratory Physiology Service (From 1 April 2004)
342 =  Pulmonary Rehabilitation Service (From 1 April 2004)
343 =  Adult Cystic Fibrosis Service (From 1 April 2004)
344 =  Complex Specialised Rehabilitation Service (From April 2013)
345 =  Specialist Rehabilitation Service (From April 2013)
346 =  Local Specialist Rehabilitation Service (From April 2013)
347 =  Sleep Medicine Service (From 1 April 2021)
348 =  Post-COVID-19 Syndrome Service (From 1 April 2021)
350 =  Infectious Diseases Service
352 =  Tropical Medicine Service (From 1 April 2004)
360 =  Genitourinary Medicine Service
361 =  Renal Medicine Service
370 =  Medical Oncology Service
371 =  Nuclear Medicine Service (From 2008-09)
400 =  Neurology Service
401 =  Clinical Neurophysiology Service (From 2008-09)
410 =  Rheumatology Service
420 =  Paediatric Service
421 =  Paediatric Neurology Service
422 =  Neonatal Critical Care Service (From 1 April 2004)
424 =  Well Baby Service (From 1 April 2004)
430 =  Elderly Medicine Service
431 =  Orthogeriatric Medicine Service (From 1 April 2021)
450 =  Dental Medicine Service (From 1990-91)
451 =  Special Care Dentistry Service (From 1 April 2021)
460 =  Medical Ophthalmology Service (From 1993-94)
461 =  Ophthalmic and Vision Science Service (From 1 April 2021)
501 =  Obstetrics Service
502 =  Gynaecology Service
503 =  Gynaecological Oncology Service (From 1 April 2004)
504 =  Community Sexual and Reproductive Health Service (From 1 April 2021)
505 =  Fetal Medicine Service (From 1 April 2021)
560 =  Midwifery Service (From October 1995)
650 =  Physiotherapy Service (From 2006-07)
651 =  Occupational Therapy Service (From 2006-07)
652 =  Speech and Language Therapy Service (From 2006-07)
653 =  Podiatry Service (From 2006-07)
654 =  Dietetics Service (From 2006-07)
655 =  Orthoptics Service (From 2006-07)
656 =  Clinical Psychology Service (From 2006-07)
657 =  Prosthetics Service (From 1 April 2004)
658 =  Orthotics Service (From 1 April 2004)
659 =  Dramatherapy Service (From 1 April 2004)
660 =  Art Therapy Service (From 1 April 2004)
661 =  Music Therapy Service (From 1 April 2004)
662 =  Optometry Service (From 1 April 2004)
663 =  Podiatric Surgery Service (From April 2013)
670 =  Urological Physiology Service (From 1 April 2021)
673 =  Vascular Physiology Service (From 1 April 2021)
675 =  Cardiac Physiology Service (From 1 April 2021)
677 =  Gastrointestinal Physiology Service (From 1 April 2021)
700 =  Learning Disability Service
710 =  Adult Mental Health Service
711 =  Child and Adolescent Psychiatry Service
712 =  Forensic Psychiatry Service
713 =  Medical Psychotherapy Service
715 =  Old Age Psychiatry Service (From 1990-91)
720 =  Eating Disorders Service (From 2006-07)
721 =  Addiction Service (From 2006-07)
722 =  Liaison Psychiatry Service (From 2006-07)
723 =  Psychiatric Intensive Care Service (From 2006-07)
724 =  Perinatal Mental Health Service (From 2006-07)
725 =  Mental Health Recovery and Rehabilitation Service (From April 2013)
726 =  Mental Health Dual Diagnosis Service (From April 2013)
727 =  Dementia Assessment Service (From April 2013)
730 =  Neuropsychiatry Service (From 1 April 2021)
800 =  Clinical Oncology Service
811 =  Interventional Radiology Service (From 1 April 2004)
812 =  Diagnostic Imaging Service (From 2008-09)
822 =  Chemical Pathology Service
834 =  Medical Virology Service (From 1 April 2004)
840 =  Audiology Service (From 2008-09)
920 =  Diabetic Education Service (From April 2013)
Null = Other Maternity Event
& = Not known","RULE_0100",NA,NA
"WAIT_IND","Waiting Calculation Indicator","Number","WAIT_IND indicates how and if the field 'Days Waiting' (WAITING) has been calculated.","0 = Days Waiting (WAITING) has been calculated  
1 = Referral Request Received Date (REQDATE) is null, WAITING has not been calculated
2 = REQDATE is < 1/1/1970, WAITING has not been calculated 
3 = REQDATE > Appointment Date, WAITING has not been calculated
4 = DNA Date is present but invalid, WAITING has not been calculated
5 = REQDATE is invalid, WAITING has not been calculated",NA,NA,"Y"
"WAITDAYS","Duration of Wait (Referral to Treatment Period)","Number","The number of days that a patient waited in a Referral to Treatment (RTT) period. This field is derived in HES as the difference between the Referral to Treatment Start Date (RTTPERSTART) and Referral to Treatment End Date (RTTPEREND).","4n = Waiting time in days from 1 to 8887
null = Not applicable / not known",NA,NA,NA
"WAITING","Days Waiting","Number","The period in days between the date of the appointment date (APPTDATE) and either the referral request received date (REQDATE) or the DNA date (DNADATE), if given. If the calculation returns a negative the waiting time is set as null. Waiting time is not calculated if REQDATE is missing or invalid. The field WAIT_IND indicates how this field was calculated. Note: As records can relate to DNAs, it is possible to have a waiting time for the record even where the patient didn’t attend.","10n = Days waiting",NA,NA,NA
"WARD91","Electoral Ward 1991","String(9)","The patient's full frozen 1991 census electoral ward and local authority of residence, derived in HES from the patient's postcode (HOMEADD).","6a = Electoral ward
Y = Not known",NA,NA,NA
"AGE_AT_DEATH","Age at death","Number","The patient's age, at time of death.","This is calculated from the date of birth and date of death. This data item is not cleaned so:
If the date of death is before the date of birth, then this field has a negative value. 
",NA,NA,NA
"CAUSE_OF_DEATH","Original underlying cause of death","String(5)","There are fifteen diagnosis fields that can be populated per record.

This is an ICD* code that identifies the medical condition judged to be the underlying cause of death. Underlying cause of death can be defined as:

a) the disease or injury which initiated the train of morbid events leading directly to death; or
b) the circumstances of the accident or violence which produced the fatal injury.
The underlying cause may be a long-standing, chronic disease or disorder that predisposed the patient to later fatal complications.

*ICD - Deaths registered (Date of registration) before 01-Jan-2001 have the Original underlying cause of death and all cause of death mentions coded in ICD-9 and those registered since 01-Jan-2001 are coded in ICD-10.
.","A valid ICD-9 or ICD-10 diagnosis code",NA,NA,NA
"CAUSE_OF_DEATH_ROW_POS_nn","Original underlying cause of death row position","Number(2)","There are fifteen row positions that relate to the CAUSE_OF_DEATH field. This data item is not cleaned and there are discrepencies in this field.","A value of 1 to 15, or NULL if no associated CAUSE_OF_DEATH field",NA,NA,NA
"CAUSE_OF_DEATH_NEONATAL_nn","Neonatal cause of death","String(5)","There are fifteen diagnosis fields that can be populated per record.

Recorded cause of death mentions for neonatal deaths only (deaths occurring at 28 days of life or earlier). These are ICD diagnosis codes.

Deaths registered (Date of registration) before 01-Jan-2001 have the Original underlying cause of death and all cause of death mentions coded in ICD-9 and those registered since 01-Jan-2001 are coded in ICD-10.","A valid ICD-9 or ICD-10 diagnosis code",NA,NA,NA
"CAUSE_OF_DEATH_NON_NEONATAL_nn","Non-neonatal cause of death","String(5)","There are fifteen diagnosis fields that can be populated per record.

Recorded cause of death mentions for non-neonatal deaths only (deaths occurring after 28 days of life). These are ICD diagnosis codes.

Deaths registered (Date of registration) before 01-Jan-2001 have the Original underlying cause of death and all cause of death mentions coded in ICD-9 and those registered since 01-Jan-2001 are coded in ICD-10.","A valid ICD-9 or ICD-10 diagnosis code",NA,NA,NA
"CERTIFYING_GP_n","Certifying GP","String(300)","There are four certifying GP fields that can be populated per record. This is a free text format of the GP who certified the death.",NA,NA,NA,NA
"COMMUNAL_ESTABLISHMENT","Communal establishment","String(1) or Number(5)","The communal establishment code is a five-digit code derived from the place of death as supplied on the death certificate.","00001-99999 = Communal establishment code
H = Home
E = Elsewhere",NA,NA,NA
"DATA_SOURCE","Data source","String(3)","Source of the data for this record; See DEATH_RECORD_USED.","HES where DEATH_RECORD_USED = HES1 or HES2
ONS where DEATH_RECORD_USED = ONS1, ONS2 or MIX1",NA,NA,NA
"DATE_ADDED","Date added","Date(YYYY-MM-DD)","This is system data indicating the date the record was processed into ONS_HES table","Date(YYYY-MM-DD)",NA,NA,NA
"DEATH_RECORD_USED","Death records used","String(4)","Indicates the source (HES or ONS) of the death record in the linked HES-ONS mortality data.","ONS1 = Full ONS mortality record used (where ONS DOD is 0-3 days inclusive before HES mortality date)
ONS2 = Full ONS mortality record used (where the death was recorded only in ONS)
MIX1 = ONS mortality record used, but date of death taken from HES (where ONS DOD is 1-3 days inclusive after HES mortality date)
HES1 = Full HES mortality record used (where the death was only recorded in HES)
HES2 = Full HES mortality record used (where ONS DOD > 3 days after HES mortality date)",NA,NA,NA
"DOB","Patient's date of birth","Date(YYYY-MM-DD)","The patient's date of birth.","Date(YYYY-MM-DD)",NA,NA,NA
"DOD","Date of death","Date(YYYY-MM-DD)","Date on which the patient died. Where ‘Death Record Used’ = ‘MIX1’, ‘HES1’ or ‘HES2’, the date of death from HES (discharge date or episode end date of death episode) is used.  Otherwise, this date is taken from the ONS death record.","Date(YYYY-MM-DD)",NA,NA,NA
"DOR","Date of registration","Date(YYYY-MM-DD)","Date on which the death was registered","Date(YYYY-MM-DD)",NA,NA,NA
"EPIKEY","Episode key","Number(19)","This field uniquely identifies the episode with the death record in HES","19n - EPIKEY",NA,NA,NA
"HOMEADD","Postcode of patient's home address","String(8)","The patient's home postcode.","This field is not cleaned so may not match exactly the standard format of 8an",NA,NA,NA
"MATCH_RANK","Match rank","Number(1)","Indicates the strength of the match between the ONS and HES records.","0 indicates that the death record is present in HES only, because an ONS record could not be matched to HES, or the death record is not available in the ONS dataset.  
1 corresponds to an exact match between the confirmed NHS number in the ONS data and the PERSON_ID in the HES data.
8 corresponds to an exact match of date of birth, sex and postcode for the ONS and HES data (excluding any records where the date of birth is 1 January).",NA,NA,NA
"NEWNHSNO","Patient's NHS Number","String(10)","The NHS number of the patient, which is the primary identifier of a person registered for health care; it is unique.","10n = NHS number",NA,NA,NA
"NHS_INDICATOR","NHS indicator","String(1)","Indicates whether the communal establishment code refers to an NHS establishment, referring to the physical building rather than the service.","1 = NHS establishment
2 = Non-NHS establishment",NA,NA,NA
"PERSON_ID","Person ID","String(10)","This field uniquely identifies a patient across all data years. It is generated by the master patient service (MPS).

When an ONS record is linked to HES, the record is assigned a PERSON ID.  When the same PERSON ID exists in both datasets, preference is given to the ONS death record for use. When a PERSON ID exists in both datasets, but the date of death differs by more than 3 days, we use the HES death record. When a HES death record does not have a matching ONS record with the same PERSON ID, the HES death record is used.","max 10an = Person identifier",NA,NA,NA
"PLACE_OF_DEATH","Patient's place of death","String(300)","This is a free text format of the place of death of the patient.",NA,NA,NA,NA
"RESPCT","Primary care trust (PCT) of usual residence","String(8)","Primary care trust (PCT) of usual residence of deceased.  This field has been retired because PCTs no longer exist.","NULL",NA,NA,NA
"RESSTHA","Strategic health authority (SHA) of usual residence","String(8)","Strategic health authority (SHA) of usual residence of deceased.  This field has been retired because SHAs no longer exist.","NULL",NA,NA,NA
